Categoria,Rama,Anio,Demanda,Precio_gas_natural,Precio_combustoleo,PIB,Factores_eficiencia,Estudio
Productos a base de minerales no metálicos,Cemento y vidrio,2026,163.2,7.3,18,165,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2027,163,7.4,17.9,170,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2028,162.3,7.6,17.9,175,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2029,161.3,7.7,17.9,180,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2030,160.3,7.7,17.9,184,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2005,15.3,7.1,6.8,93,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2006,18.9,6.5,8.7,99,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2007,16.6,6.4,9.7,101,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2008,17.7,8.5,13,104,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2009,15.8,3.8,10.4,104,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2010,16.2,4.5,13.4,105,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2011,18.6,4.3,17.9,109,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2012,22,3.2,18.3,112,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2013,39.1,4.5,16.9,112,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2014,34.9,5.3,16.9,115,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2015,38.3,5,17.4,122,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2016,38.1,5.3,17.2,129,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2017,40.7,5.8,17.1,133,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2018,41.1,6.4,16.8,137,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2019,41.3,6.6,16.6,142,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2020,41.6,6.7,16.4,146,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2021,41.6,6.7,16.6,150,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2022,41.7,6.7,17,154,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2023,41.6,6.8,17.3,158,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2024,41.3,7,17.6,162,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2025,41,7.2,17.8,167,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2026,40.6,7.3,18,171,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2027,40.2,7.4,17.9,176,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2028,39.7,7.6,17.9,181,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2029,39.1,7.7,17.9,186,,Gas natural 1.0
Cerveza y malta,Cerveza y malta,2030,38.5,7.7,17.9,190,,Gas natural 1.0
Metales básicos,Metales básicos,2005,279.5,7.1,6.8,151,12.76,Gas natural 1.0
Metales básicos,Metales básicos,2006,293.6,6.5,8.7,154,12.68,Gas natural 1.0
Metales básicos,Metales básicos,2007,305.6,6.4,9.7,148,13.54,Gas natural 1.0
Metales básicos,Metales básicos,2008,299.3,8.5,13,147,14.49,Gas natural 1.0
Metales básicos,Metales básicos,2009,223.4,3.8,10.4,123,14.93,Gas natural 1.0
Metales básicos,Metales básicos,2010,287.5,4.5,13.4,138,,Gas natural 1.0
Metales básicos,Metales básicos,2011,301.4,4.3,17.9,143,,Gas natural 1.0
Metales básicos,Metales básicos,2012,299.2,3.2,18.3,149,,Gas natural 1.0
Metales básicos,Metales básicos,2013,326.1,4.5,16.9,152,,Gas natural 1.0
Metales básicos,Metales básicos,2014,340.4,5.3,16.9,165,,Gas natural 1.0
Metales básicos,Metales básicos,2015,347.4,5,17.4,159,,Gas natural 1.0
Metales básicos,Metales básicos,2016,343.3,5.3,17.2,157,,Gas natural 1.0
Metales básicos,Metales básicos,2017,344.7,5.8,17.1,160,,Gas natural 1.0
Metales básicos,Metales básicos,2018,346.7,6.4,16.8,165,,Gas natural 1.0
Metales básicos,Metales básicos,2019,348.1,6.6,16.6,171,,Gas natural 1.0
Metales básicos,Metales básicos,2020,349.6,6.7,16.4,176,,Gas natural 1.0
Metales básicos,Metales básicos,2021,350.9,6.7,16.6,181,,Gas natural 1.0
Metales básicos,Metales básicos,2022,352.2,6.7,17,186,,Gas natural 1.0
Metales básicos,Metales básicos,2023,353.3,6.8,17.3,191,,Gas natural 1.0
Metales básicos,Metales básicos,2024,354,7,17.6,196,,Gas natural 1.0
Metales básicos,Metales básicos,2025,355,7.2,17.8,201,,Gas natural 1.0
Metales básicos,Metales básicos,2026,355.8,7.3,18,206,,Gas natural 1.0
Metales básicos,Metales básicos,2027,356.6,7.4,17.9,212,,Gas natural 1.0
Metales básicos,Metales básicos,2028,357.3,7.6,17.9,218,,Gas natural 1.0
Metales básicos,Metales básicos,2029,357.9,7.7,17.9,223,,Gas natural 1.0
Metales básicos,Metales básicos,2030,358.3,7.7,17.9,229,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2005,127.2,7.1,6.8,438,0.99,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2006,130.7,6.5,8.7,480,0.97,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2007,133.6,6.4,9.7,488,1.06,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2008,126.6,8.5,13,478,1.1,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2009,112.6,3.8,10.4,381,0.99,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2010,132,4.5,13.4,495,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2011,146.2,4.3,17.9,547,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2012,153.2,3.2,18.3,605,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2013,147.1,4.5,16.9,628,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2014,152.4,5.3,16.9,692,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2015,151.8,5,17.4,732,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2016,155.5,5.3,17.2,748,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2017,168.9,5.8,17.1,771,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2018,180,6.4,16.8,805,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2019,183.2,6.6,16.6,843,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2020,186.5,6.7,16.4,882,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2021,189.5,6.7,16.6,921,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2022,192,6.7,17,963,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2023,192.6,6.8,17.3,1004,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2024,192.9,7,17.6,1043,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2025,193.9,7.2,17.8,1087,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2026,194.5,7.3,18,1134,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2027,195.7,7.4,17.9,1183,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2028,195.3,7.6,17.9,1233,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2029,194,7.7,17.9,1284,,Gas natural 1.0
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2030,192.4,7.7,17.9,1333,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2005,63.9,7.1,6.8,109,11.85,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2006,68.3,6.5,8.7,116,12.89,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2007,69.4,6.4,9.7,118,13.75,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2008,66.2,8.5,13,114,12.62,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2009,58.2,3.8,10.4,103,13.21,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2010,74.2,4.5,13.4,108,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2011,80.9,4.3,17.9,111,,Gas natural 1.0
